"","WTP","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current"
"97",480000,0.8755,0.0905,0.034,0.903,0.0585,0.0385,0.921,0.039,0.04,0.929,0.027,0.044,0.938,0.0145,0.0475,0.9455,0.0045,0.05
"98",485000,0.876,0.0905,0.0335,0.9035,0.059,0.0375,0.9215,0.039,0.0395,0.9295,0.027,0.0435,0.9385,0.0145,0.047,0.946,0.0045,0.0495
"99",490000,0.8765,0.0905,0.033,0.9045,0.059,0.0365,0.9225,0.039,0.0385,0.931,0.0265,0.0425,0.9395,0.0145,0.046,0.947,0.005,0.048
"100",495000,0.8765,0.0905,0.033,0.905,0.0585,0.0365,0.9225,0.039,0.0385,0.931,0.0265,0.0425,0.94,0.014,0.046,0.947,0.0055,0.0475
"101",5e+05,0.877,0.0905,0.0325,0.9055,0.0585,0.036,0.923,0.039,0.038,0.9315,0.0265,0.042,0.9405,0.014,0.0455,0.9475,0.0055,0.047
"102",505000,0.8775,0.09,0.0325,0.9055,0.0585,0.036,0.923,0.039,0.038,0.9315,0.0265,0.042,0.941,0.014,0.045,0.948,0.0055,0.0465
"103",510000,0.8775,0.09,0.0325,0.906,0.058,0.036,0.923,0.0395,0.0375,0.9315,0.0265,0.042,0.9415,0.0135,0.045,0.948,0.0055,0.0465
"104",515000,0.8775,0.09,0.0325,0.906,0.058,0.036,0.923,0.0395,0.0375,0.9315,0.0265,0.042,0.9415,0.014,0.0445,0.9485,0.0055,0.046
"105",520000,0.8775,0.09,0.0325,0.907,0.0575,0.0355,0.9235,0.0395,0.037,0.932,0.027,0.041,0.943,0.013,0.044,0.949,0.0055,0.0455
"106",525000,0.8785,0.0895,0.032,0.908,0.0575,0.0345,0.924,0.0395,0.0365,0.9335,0.0265,0.04,0.944,0.013,0.043,0.95,0.0055,0.0445
"107",530000,0.8785,0.0895,0.032,0.908,0.0575,0.0345,0.924,0.0395,0.0365,0.934,0.026,0.04,0.9445,0.013,0.0425,0.9505,0.006,0.0435
"108",535000,0.8785,0.0895,0.032,0.908,0.0575,0.0345,0.924,0.0395,0.0365,0.934,0.027,0.039,0.9445,0.013,0.0425,0.9505,0.006,0.0435
"109",540000,0.8785,0.0895,0.032,0.9085,0.057,0.0345,0.924,0.0395,0.0365,0.934,0.027,0.039,0.9445,0.013,0.0425,0.9505,0.006,0.0435
"110",545000,0.8795,0.089,0.0315,0.909,0.057,0.034,0.9245,0.0395,0.036,0.9345,0.027,0.0385,0.945,0.013,0.042,0.951,0.006,0.043
"111",550000,0.8795,0.089,0.0315,0.9095,0.057,0.0335,0.925,0.0395,0.0355,0.935,0.027,0.038,0.9455,0.013,0.0415,0.9515,0.006,0.0425
"112",555000,0.8795,0.09,0.0305,0.9095,0.0575,0.033,0.925,0.0395,0.0355,0.9355,0.027,0.0375,0.9455,0.013,0.0415,0.9515,0.006,0.0425
"113",560000,0.8795,0.091,0.0295,0.9095,0.0575,0.033,0.9255,0.039,0.0355,0.9355,0.027,0.0375,0.9455,0.013,0.0415,0.9515,0.006,0.0425
"114",565000,0.88,0.091,0.029,0.91,0.058,0.032,0.926,0.039,0.035,0.936,0.027,0.037,0.9465,0.0125,0.041,0.952,0.006,0.042
"115",570000,0.88,0.091,0.029,0.91,0.058,0.032,0.926,0.039,0.035,0.936,0.027,0.037,0.9465,0.0125,0.041,0.952,0.006,0.042
"116",575000,0.8805,0.091,0.0285,0.911,0.058,0.031,0.927,0.0395,0.0335,0.937,0.027,0.036,0.9475,0.0125,0.04,0.953,0.006,0.041
"117",580000,0.8805,0.091,0.0285,0.911,0.0585,0.0305,0.927,0.0395,0.0335,0.937,0.027,0.036,0.9475,0.0125,0.04,0.953,0.006,0.041
"118",585000,0.881,0.0905,0.0285,0.911,0.0585,0.0305,0.927,0.04,0.033,0.937,0.027,0.036,0.9475,0.0125,0.04,0.953,0.006,0.041
"119",590000,0.881,0.0905,0.0285,0.911,0.0585,0.0305,0.927,0.04,0.033,0.937,0.027,0.036,0.9475,0.0125,0.04,0.953,0.006,0.041
"120",595000,0.8815,0.0905,0.028,0.9115,0.0585,0.03,0.9275,0.04,0.0325,0.9375,0.027,0.0355,0.948,0.013,0.039,0.9535,0.006,0.0405
"121",6e+05,0.8815,0.091,0.0275,0.9115,0.0585,0.03,0.9275,0.04,0.0325,0.938,0.0275,0.0345,0.9485,0.013,0.0385,0.954,0.006,0.04
